"Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"Disney Infinity 2.0: Marvel Super Heroes","PSV",2015,"Action","Disney Interactive Studios",0.0,0.11,0.0,0.03,0.14
"Spider-Man: Edge of Time","DS",2011,"Action","Activision",0.12,0.01,0.0,0.01,0.14
"Kenka Banchou 5: Otoko no Housoku","PSP",2011,"Action","Spike",0.0,0.0,0.14,0.0,0.14
"Legend of the Guardians: The Owls of Ga'Hoole","DS",2010,"Action","Warner Bros. Interactive Entertainment",0.11,0.02,0.0,0.01,0.14
"Cave Story 3D","3DS",2011,"Platform","Nippon Ichi Software",0.09,0.03,0.01,0.01,0.14
"Record of Agarest War 2","PS3",2010,"Role-Playing","Compile Heart",0.09,0.0,0.04,0.01,0.14
"SBK 2011: FIM Superbike World Championship","PS3",2011,"Racing","Black Bean Games",0.01,0.1,0.0,0.03,0.14
"Uta no * Prince-Sama: Repeat","PSP",2011,"Adventure","Broccoli",0.0,0.0,0.14,0.0,0.14
"Senran Kagura Burst: Guren no Sh?jo-tachi","3DS",2012,"Action","Marvelous Entertainment",0.0,0.0,0.14,0.0,0.14
".hack//Link","PSP",2010,"Role-Playing","Namco Bandai Games",0.0,0.0,0.14,0.0,0.14
"Yogi Bear: The Video Game","DS",2010,"Action","D3Publisher",0.1,0.03,0.0,0.01,0.14
"Gundam Breaker 2","PS3",2014,"Action","Namco Bandai Games",0.0,0.0,0.14,0.0,0.14
"TRINITY: Souls of Zill O'll","PS3",2010,"Role-Playing","Ubisoft Annecy",0.06,0.03,0.03,0.02,0.14
"Okami","PS3",2012,"Action","Capcom",0.0,0.0,0.14,0.0,0.14
"Sumikko Gurashi: Omise Hajimerundesu","3DS",2015,"Action","Nippon Columbia",0.0,0.0,0.14,0.0,0.14
"Watch Dogs","WiiU",2014,"Action","Ubisoft",0.08,0.05,0.0,0.01,0.14
"Farming Simulator 2012","3DS",2012,"Action","Excalibur Publishing",0.0,0.12,0.0,0.02,0.14
"Akiba's Trip","PSP",2011,"Adventure","Acquire",0.0,0.0,0.14,0.0,0.14
"Just Cause 3","PC",2015,"Action","Square Enix",0.03,0.11,0.0,0.01,0.14
"Kidou Senshi Gundam: Shin Gihren no Yabou","PSP",2011,"Strategy","Namco Bandai Games",0.0,0.0,0.14,0.0,0.14
"How to Train Your Dragon","X360",2010,"Action","Activision",0.11,0.02,0.0,0.01,0.14
"Your Shape: Fitness Evolved 2013","WiiU",2012,"Action","Ubisoft",0.06,0.07,0.0,0.01,0.14
"My Fitness Coach: Club","PS3",2011,"Sports","Ubisoft",0.0,0.1,0.0,0.04,0.14
"Injustice: Gods Among Us","PSV",2013,"Fighting","Warner Bros. Interactive Entertainment",0.11,0.01,0.0,0.02,0.14
"Atari's Greatest Hits: Volume 1","DS",2010,"Misc","Atari",0.13,0.0,0.0,0.01,0.14
"International Cricket 2010","X360",2010,"Sports","Codemasters",0.0,0.12,0.0,0.02,0.14
"Earth Defense Force 2: Invaders from Planet Space","PSP",2011,"Action","D3Publisher",0.0,0.0,0.14,0.0,0.14
"Skylanders Giants","3DS",2012,"Action","Activision",0.12,0.01,0.0,0.01,0.14
"Lips: I Love The 80s","X360",2010,"Misc","Microsoft Game Studios",0.0,0.12,0.0,0.02,0.14
"Monster Hunter Diary: Poka Poka Airou Village DX","3DS",2015,"Action","Capcom",0.0,0.0,0.14,0.0,0.14
"Pro Yaky? Spirits 2014","PS3",2014,"Sports","Konami Digital Entertainment",0.0,0.0,0.14,0.0,0.14
"Zoobles! Spring to Life!","DS",2011,"Misc","Activision",0.1,0.02,0.0,0.01,0.14
"The Walking Dead: Season Two","XOne",2014,"Adventure","Telltale Games",0.08,0.05,0.0,0.01,0.14
"The Darkness II","PC",2012,"Shooter","Take-Two Interactive",0.1,0.03,0.0,0.01,0.14
"Create","X360",2010,"Action","Electronic Arts",0.1,0.03,0.0,0.01,0.14
"Karaoke Revolution Glee: Volume 3","X360",2011,"Misc","Konami Digital Entertainment",0.13,0.0,0.0,0.01,0.14
"Rango: The Video Game","Wii",2011,"Action","Electronic Arts",0.08,0.04,0.0,0.01,0.14
"Power Gig: Rise of the SixString","PS3",2010,"Misc","Unknown",0.13,0.0,0.0,0.01,0.14
"Transformers: Prime","WiiU",2012,"Action","Activision",0.09,0.03,0.0,0.01,0.14
"NCIS","X360",2011,"Adventure","Ubisoft",0.1,0.03,0.0,0.01,0.14
"Reality Fighters","PSV",2012,"Fighting","Sony Computer Entertainment",0.06,0.06,0.0,0.03,0.14
"Dynasty Warriors 7: Empires","PS3",2012,"Action","Ubisoft Annecy",0.0,0.0,0.14,0.0,0.14
"Ben 10 Galactic Racing","DS",2011,"Racing","D3Publisher",0.1,0.03,0.0,0.01,0.14
"Persona 4: Arena Ultimax","PS3",2014,"Fighting","Atlus",0.0,0.01,0.13,0.0,0.14
"NBA 2K13","WiiU",2012,"Sports","Take-Two Interactive",0.08,0.04,0.0,0.01,0.14
"MySims Collection","Wii",2010,"Misc","Electronic Arts",0.13,0.0,0.0,0.01,0.14
"Cities: Skylines","PC",2015,"Simulation","Paradox Interactive",0.0,0.13,0.0,0.01,0.14
"Football Manager 2012","PSP",2011,"Sports","Sega",0.0,0.1,0.0,0.04,0.14
"Zetta Hero Project: Unlosing Ranger vs. Darkdeath Evilman","PSP",2010,"Role-Playing","Nippon Ichi Software",0.07,0.0,0.06,0.01,0.14
"Puyo Puyo!! 20th Anniversary","DS",2011,"Puzzle","Sega",0.0,0.0,0.14,0.0,0.14
"Famista Returns","3DS",2015,"Sports","Namco Bandai Games",0.0,0.0,0.14,0.0,0.14
"I Spy: Universe","DS",2010,"Puzzle","Scholastic Inc.",0.13,0.0,0.0,0.01,0.14
"The Amazing Race","Wii",2010,"Misc","Ubisoft",0.13,0.0,0.0,0.01,0.14
"Far Cry: Primal","PC",2016,"Action","Ubisoft",0.04,0.09,0.0,0.01,0.14
"Dead Rising 2","PC",2010,"Action","Capcom",0.1,0.02,0.0,0.01,0.14
"Let's Cheer","X360",2011,"Misc","Take-Two Interactive",0.12,0.0,0.0,0.01,0.14
"BlazBlue: Chrono Phantasma Extend","PS4",2015,"Action","PQube",0.07,0.03,0.02,0.02,0.14
"Singstar: Ultimate Party","PS3",2014,"Misc","Sony Computer Entertainment Europe",0.0,0.12,0.0,0.02,0.14
"The X-Factor","PS3",2010,"Misc","Deep Silver",0.0,0.1,0.0,0.03,0.14
"Vampire Moon: The Mystery of the Hidden Sun","DS",2010,"Adventure","City Interactive",0.12,0.01,0.0,0.01,0.14
"Football Manager 2014","PSV",2013,"Sports","Sega",0.0,0.1,0.0,0.04,0.14
"BIT.TRIP SAGA","3DS",2011,"Misc","Rising Star Games",0.09,0.04,0.0,0.01,0.14
"Touch My Katamari","PSV",2011,"Puzzle","Namco Bandai Games",0.08,0.04,0.0,0.02,0.14
"MLB 14: The Show","PSV",2014,"Sports","Sony Computer Entertainment America",0.11,0.0,0.0,0.02,0.14
"Dragon Age Origins: Awakening","PC",2010,"Role-Playing","Electronic Arts",0.01,0.1,0.0,0.02,0.14
"Shining Resonance","PS3",2014,"Role-Playing","Sega",0.0,0.0,0.14,0.0,0.14
"Let's Play Ballerina","DS",2010,"Sports","Deep Silver",0.13,0.0,0.0,0.01,0.14
"Kamen Rider Battle: Ganbaride","DS",2010,"Strategy","Namco Bandai Games",0.0,0.0,0.14,0.0,0.14
"Battlefield: Hardline","PC",2015,"Shooter","Electronic Arts",0.0,0.13,0.0,0.01,0.14
"Game Party: Champions","WiiU",2012,"Action","Warner Bros. Interactive Entertainment",0.09,0.03,0.0,0.01,0.14
"Divinity II: The Dragon Knight Saga","X360",2010,"Role-Playing","Focus Home Interactive",0.11,0.02,0.0,0.01,0.14
"Top Shot Arcade","Wii",2011,"Shooter","Activision",0.13,0.0,0.0,0.01,0.14
"Imagine: Fashion Stylist","DS",2010,"Simulation","Ubisoft",0.13,0.0,0.0,0.01,0.14
"Pro Evolution Soccer 2015","XOne",2014,"Sports","Konami Digital Entertainment",0.02,0.1,0.0,0.01,0.14
"Red Orchestra 2: Heroes of Stalingrad","PC",2011,"Shooter","Tripwire Interactive",0.04,0.07,0.0,0.02,0.14
"Deepak Chopra's Leela","Wii",2011,"Misc","THQ",0.11,0.01,0.0,0.01,0.14
"Tom Clancy's Ghost Recon","Wii",2010,"Shooter","Ubisoft",0.11,0.01,0.0,0.01,0.14
"NCIS","Wii",2011,"Adventure","Ubisoft",0.08,0.04,0.0,0.01,0.14
"Queen's Gate: Spiral Chaos","PSP",2011,"Role-Playing","Namco Bandai Games",0.0,0.0,0.14,0.0,0.14
"Nayuta no Kiseki","PSP",2012,"Action","Nihon Falcom Corporation",0.0,0.0,0.14,0.0,0.14
"Peppa Pig: Fun and Games","Wii",2010,"Misc","Ubisoft",0.0,0.12,0.0,0.02,0.13
"Nobunaga no Yabou: Tendou","PS3",2010,"Strategy","Tecmo Koei",0.0,0.0,0.13,0.0,0.13
"Medalot 7","3DS",2012,"Action","Rocket Company",0.0,0.0,0.13,0.0,0.13
"Winter Stars","Wii",2011,"Sports","Deep Silver",0.06,0.07,0.0,0.01,0.13
"Suikoden: Tsumugareshi Hyakunen no Toki","PSP",2012,"Role-Playing","Konami Digital Entertainment",0.0,0.0,0.13,0.0,0.13
"Shovel Knight","3DS",2015,"Platform","Yacht Club Games",0.07,0.04,0.01,0.01,0.13
"Hyperdimension Idol Neptunia PP","PSV",2013,"Misc","Namco Bandai Games",0.04,0.03,0.04,0.02,0.13
"Shiren the Wanderer 4 - God's Eye and the Demon's Navel","DS",2010,"Role-Playing","Spike",0.0,0.0,0.13,0.0,0.13
"Ben 10 Galactic Racing","3DS",2011,"Racing","D3Publisher",0.07,0.06,0.0,0.01,0.13
"Hulk Hogan's Main Event","X360",2011,"Fighting","505 Games",0.1,0.02,0.0,0.01,0.13
"Transformers: Devastation","XOne",2015,"Action","Activision",0.09,0.03,0.0,0.01,0.13
"Euro Truck Simulator 2","PC",2012,"Action","SCS Software",0.0,0.12,0.0,0.02,0.13
"DmC: Devil May Cry","XOne",2015,"Action","Capcom",0.08,0.04,0.0,0.01,0.13
"WipeOut 3 The Game","WiiU",2012,"Action","Activision",0.12,0.0,0.0,0.01,0.13
"Bakugan: Battle Trainer","DS",2010,"Action","Activision",0.12,0.0,0.0,0.01,0.13
"Suite PreCure: Melody Collection","DS",2011,"Misc","Namco Bandai Games",0.0,0.0,0.13,0.0,0.13
"Venetica","X360",2010,"Role-Playing","DTP Entertainment",0.09,0.03,0.0,0.01,0.13
"James Bond 007: Legends","WiiU",2012,"Shooter","Activision",0.07,0.05,0.0,0.01,0.13
"Rugby 15","PS3",2015,"Sports","Bigben Interactive",0.02,0.09,0.0,0.02,0.13
"MLB 11: The Show","PS2",2011,"Sports","Sony Computer Entertainment",0.06,0.05,0.0,0.02,0.13
"Ken to Mahou to Gakuen Mono. 3","PSP",2010,"Role-Playing","Acquire",0.0,0.0,0.13,0.0,0.13
"Greg Hastings Paintball 2","Wii",2010,"Shooter","505 Games",0.12,0.0,0.0,0.01,0.13
"Teenage Mutant Ninja Turtles: Danger of the Ooze","3DS",2014,"Adventure","Activision",0.08,0.04,0.0,0.01,0.13
"Pro Baseball Spirits 2015","PSV",2015,"Action","Konami Digital Entertainment",0.0,0.0,0.13,0.0,0.13
"Jikkyou Powerful Pro Yakyuu 2011 Ketteiban","PSP",2011,"Sports","Konami Digital Entertainment",0.0,0.0,0.13,0.0,0.13
"Tales of the Heroes: Twin Brave","PSP",2012,"Role-Playing","Namco Bandai Games",0.0,0.0,0.13,0.0,0.13
"Super Robot Wars BX","3DS",2015,"Action","Namco Bandai Games",0.0,0.0,0.13,0.0,0.13
"Persona 4: Arena","X360",2012,"Fighting","Atlus",0.08,0.02,0.03,0.01,0.13
"Midnight Mysteries: The Edgar Allan Poe Conspiracy","DS",2010,"Adventure","Foreign Media Games",0.08,0.04,0.0,0.01,0.13
"Resident Evil: Revelations 2","PSV",2015,"Action","Capcom",0.01,0.05,0.06,0.01,0.13
"SpongeBob's Surf & Skate Roadtrip","DS",2011,"Action","THQ",0.11,0.02,0.0,0.01,0.13
"Chuck E. Cheese's Game Room","DS",2010,"Misc","UFO Interactive",0.12,0.0,0.0,0.01,0.13
"Attack on Titan (KOEI)","PSV",2016,"Action","Tecmo Koei",0.0,0.0,0.13,0.0,0.13
"Soccer Tsuku DS: World Challenge 2010","DS",2010,"Sports","Sega",0.0,0.0,0.13,0.0,0.13
"Megamind: The Blue Defender","PSP",2010,"Adventure","THQ",0.08,0.03,0.0,0.02,0.13
"Slime MoriMori Dragon Quest 3: Taikaizoku to Shippo Dan","3DS",2011,"Role-Playing","Square Enix",0.0,0.0,0.13,0.0,0.13
"How to Train Your Dragon 2","PS3",2014,"Adventure","Little Orbit",0.03,0.08,0.0,0.02,0.13
"The Smurfs 2","X360",2013,"Platform","Ubisoft",0.03,0.09,0.0,0.01,0.13
"NeverDead","PS3",2012,"Shooter","Konami Digital Entertainment",0.06,0.04,0.01,0.02,0.13
"Naruto Shippuden: Kizuna Drive","PSP",2010,"Action","Namco Bandai Games",0.04,0.02,0.05,0.02,0.13
"The IdolM@ster: One for All","PS3",2014,"Misc","Namco Bandai Games",0.0,0.0,0.13,0.0,0.13
"Steel Battalion: Heavy Armor","X360",2012,"Misc","Capcom",0.08,0.03,0.02,0.01,0.13
"Disney Princess: Enchanting Storybooks","DS",2011,"Misc","THQ",0.08,0.04,0.0,0.01,0.13
"The Oregon Trail","3DS",2011,"Simulation","Crave Entertainment",0.12,0.0,0.0,0.01,0.13
"Lovely Lisa and Friends","DS",2010,"Simulation","Tomy Corporation",0.12,0.0,0.0,0.01,0.13
"Hasbro Family Fun Pack","XOne",2015,"Misc","Ubisoft",0.1,0.02,0.0,0.01,0.13
"Under Night In-Birth","PS3",2014,"Fighting","Nippon Ichi Software",0.06,0.02,0.04,0.02,0.13
"Grand Knights History","PSP",2011,"Role-Playing","Marvelous Interactive",0.0,0.0,0.13,0.0,0.13
"Just Dance: Disney Party","Wii",2012,"Misc","Ubisoft",0.01,0.1,0.0,0.02,0.13
"Rango: The Video Game","X360",2011,"Action","Electronic Arts",0.06,0.06,0.0,0.01,0.13
"The History Channel: Great Battles - Medieval","X360",2010,"Strategy","Slitherine Software",0.08,0.04,0.0,0.01,0.13
"TRON: Evolution","PSP",2010,"Action","Disney Interactive Studios",0.09,0.02,0.0,0.02,0.13
"DreamWorks Super Star Kartz","DS",2011,"Racing","Activision",0.09,0.03,0.0,0.01,0.13
"MLB 13: The Show","PSV",2013,"Sports","Sony Computer Entertainment",0.11,0.0,0.0,0.02,0.13
"Nicktoons: MLB","X360",2011,"Sports","Take-Two Interactive",0.12,0.0,0.0,0.01,0.13
"Green Lantern: Rise of the Manhunters","X360",2011,"Action","Warner Bros. Interactive Entertainment",0.07,0.05,0.0,0.01,0.13
"Brothers: A Tale of Two Sons","PS4",2015,"Adventure","505 Games",0.03,0.08,0.0,0.02,0.13
"BlazBlue: Continuum Shift II","PSP",2011,"Fighting","PQube",0.03,0.02,0.07,0.01,0.13
"Backyard Sports Football: Rookie Rush","Wii",2010,"Sports","Atari",0.12,0.0,0.0,0.01,0.13
"Farming Simulator 2011","PC",2010,"Simulation","N/A",0.0,0.13,0.0,0.0,0.13
"Imagine: Fashion Designer","3DS",2011,"Simulation","Ubisoft",0.1,0.02,0.0,0.01,0.13
"Pop'n Music Portable","PSP",2010,"Misc","Konami Digital Entertainment",0.0,0.0,0.13,0.0,0.13
"Borderlands: Double Game Add-On Pack","X360",2010,"Shooter","Take-Two Interactive",0.1,0.02,0.0,0.01,0.13
"Reader Rabbit Kindergarten","Wii",2010,"Misc","Graffiti",0.12,0.0,0.0,0.01,0.13
"Metal Max 3","DS",2010,"Role-Playing","Enterbrain",0.0,0.0,0.13,0.0,0.13
"Puyo Puyo!! 20th Anniversary","3DS",2011,"Puzzle","Sega",0.0,0.0,0.13,0.0,0.13
"Dragon Quest Heroes II: Twin Kings and the Prophecy's End","PS3",2016,"Action","Square Enix",0.0,0.0,0.13,0.0,0.13
"Monster Hunter Frontier Online","X360",2010,"Role-Playing","Capcom",0.0,0.0,0.13,0.0,0.13
"Green Lantern: Rise of the Manhunters","3DS",2011,"Action","Warner Bros. Interactive Entertainment",0.09,0.03,0.0,0.01,0.13
"Puppies 3D","3DS",2011,"Misc","Ubisoft",0.08,0.04,0.0,0.01,0.13
"Just Cause 2","PC",2010,"Action","Square Enix",0.0,0.1,0.0,0.03,0.13
"Venetica","PS3",2010,"Role-Playing","DTP Entertainment",0.07,0.04,0.0,0.02,0.13
"Transformers: War for Cybertron -- Decepticons","DS",2010,"Action","Activision",0.11,0.01,0.0,0.01,0.13
"Fuse (Insomniac)","X360",2013,"Shooter","Electronic Arts",0.08,0.04,0.0,0.01,0.13
"Legend of the Guardians: The Owls of Ga'Hoole","Wii",2010,"Action","Warner Bros. Interactive Entertainment",0.11,0.01,0.0,0.01,0.13
"Tamagotchi no Pichi Pichi Omisecchi","DS",2010,"Action","Namco Bandai Games",0.0,0.0,0.13,0.0,0.13
"Pro Evolution Soccer 2016","X360",2015,"Sports","Konami Digital Entertainment",0.04,0.08,0.0,0.01,0.13
"Batman: Arkham Knight","PC",2015,"Action","Warner Bros. Interactive Entertainment",0.08,0.03,0.0,0.01,0.13
"Sengoku Basara 3 Utage","Wii",2011,"Action","Capcom",0.0,0.0,0.13,0.0,0.13
"Gravity Rush Remastered","PS4",2015,"Action","Sony Computer Entertainment",0.02,0.05,0.04,0.01,0.13
"Assassination Classroom: Grand Siege on Kuro-sensei","3DS",2015,"Action","Namco Bandai Games",0.0,0.0,0.13,0.0,0.13
"LEGO Batman 2: DC Super Heroes","WiiU",2013,"Action","Warner Bros. Interactive Entertainment",0.05,0.07,0.0,0.01,0.13
"Thor: God of Thunder","DS",2011,"Action","Sega",0.09,0.03,0.0,0.01,0.13
"The Price is Right: Decades","Wii",2011,"Misc","Ubisoft",0.12,0.0,0.0,0.01,0.13
"Fit in Six","PS3",2011,"Sports","Ubisoft",0.12,0.0,0.0,0.01,0.13
"Deepak Chopra's Leela","X360",2011,"Misc","THQ",0.07,0.05,0.0,0.01,0.13
"Twister Mania","X360",2011,"Misc","505 Games",0.1,0.01,0.0,0.01,0.13
"Soccer Tsuku: Pro Soccer Club o Tsukurou!","PS3",2013,"Sports","Sega",0.0,0.0,0.13,0.0,0.13
"NCIS","PS3",2011,"Adventure","Ubisoft",0.07,0.04,0.0,0.02,0.13
"Cabela's Dangerous Hunts 2011","DS",2010,"Sports","Activision",0.12,0.0,0.0,0.01,0.13
"7th Dragon 2020-II","PSP",2013,"Role-Playing","Sega",0.0,0.0,0.13,0.0,0.13
"Ben 10 Galactic Racing","Wii",2011,"Racing","D3Publisher",0.08,0.03,0.0,0.01,0.13
"Dynasty Warriors: Gundam Reborn","PSV",2013,"Action","Namco Bandai Games",0.0,0.0,0.13,0.0,0.13
"Little Battlers eXperience: Wars","3DS",2013,"Strategy","Level 5",0.0,0.0,0.13,0.0,0.13
"Victorious: Time to Shine","X360",2011,"Action","D3Publisher",0.12,0.0,0.0,0.01,0.13
"Aikatsu! 365 Idol Days","3DS",2014,"Adventure","Namco Bandai Games",0.0,0.0,0.13,0.0,0.13
"Petz Puppyz & Kittenz","DS",2011,"Misc","Ubisoft",0.12,0.0,0.0,0.01,0.13
"Operation Abyss: New Tokyo Legacy","PSV",2014,"Role-Playing","Nippon Ichi Software",0.04,0.01,0.06,0.02,0.13
"Transformer: Rise of the Dark Spark","PS3",2014,"Action","Activision",0.04,0.05,0.01,0.02,0.13
"Last Ranker","PSP",2010,"Role-Playing","Capcom",0.0,0.0,0.13,0.0,0.13
"Battleborn","XOne",2016,"Shooter","Take-Two Interactive",0.08,0.04,0.0,0.01,0.13
"Power Pro Kun Pocket 13","DS",2010,"Sports","Konami Digital Entertainment",0.0,0.0,0.13,0.0,0.13
"Conduit 2","Wii",2011,"Shooter","Sega",0.07,0.04,0.0,0.01,0.13
"Supremacy MMA","PS3",2011,"Fighting","505 Games",0.06,0.04,0.0,0.02,0.13
"Puella Magi Madoka Magica Portable","PSP",2012,"Role-Playing","Namco Bandai Games",0.0,0.0,0.12,0.0,0.12
"Marvel Avengers: Battle for Earth","WiiU",2012,"Action","Ubisoft",0.07,0.04,0.0,0.01,0.12
"Disney Sing It: Party Hits","PS3",2010,"Misc","Disney Interactive Studios",0.1,0.01,0.0,0.01,0.12
"Sleeping Dogs","PC",2012,"Action","Square Enix",0.06,0.05,0.0,0.02,0.12
"After Hours Athletes","PS3",2011,"Sports","Sony Computer Entertainment",0.0,0.1,0.0,0.03,0.12
"Lego Star Wars: The Force Awakens","PS3",2016,"Action","Warner Bros. Interactive Entertainment",0.03,0.07,0.0,0.02,0.12
"Kidou Senshi Gundam Seed Battle Destiny","PSV",2012,"Action","Namco Bandai Games",0.0,0.0,0.12,0.0,0.12
"Tom Clancy's Splinter Cell Trilogy","PS3",2011,"Action","Ubisoft",0.0,0.1,0.0,0.03,0.12
"Blackwater","X360",2011,"Shooter","505 Games",0.09,0.02,0.0,0.01,0.12
"Homefront: The Revolution","XOne",2016,"Shooter","Deep Silver",0.05,0.07,0.0,0.01,0.12
"Deadliest Catch: Sea of Chaos","Wii",2010,"Sports","Crave Entertainment",0.12,0.0,0.0,0.01,0.12
"One Piece: Pirate Warriors 2","PSV",2013,"Action","Namco Bandai Games",0.0,0.0,0.12,0.0,0.12
"Mugen no Frontier: Super Robot Taisen OG Saga EXCEED","DS",2010,"Role-Playing","Namco Bandai Games",0.0,0.0,0.12,0.0,0.12
"Rocket League","XOne",2016,"Sports","505 Games",0.03,0.09,0.0,0.01,0.12
"Tom Clancy's Splinter Cell: Blacklist","WiiU",2013,"Action","Ubisoft",0.05,0.07,0.0,0.01,0.12
"Gladiator Begins","PSP",2010,"Action","PQube",0.05,0.01,0.05,0.01,0.12
"Puzzle Quest 2","DS",2010,"Puzzle","D3Publisher",0.11,0.0,0.0,0.01,0.12
"All Kamen Rider: Rider Generation","DS",2011,"Action","Namco Bandai Games",0.0,0.0,0.12,0.0,0.12
"Angry Birds Star Wars","PSV",2013,"Strategy","Activision",0.05,0.04,0.0,0.03,0.12
"Final Fantasy XIV: Heavensward","PS4",2015,"Action","Square Enix",0.0,0.05,0.06,0.01,0.12
"Gotouchi Tetsudou: Gotouchi Chara to Nihon Zenkoku no Tabi","3DS",2014,"Misc","Namco Bandai Games",0.0,0.0,0.12,0.0,0.12
"Dragon Ball Z: Battle of Z","PSV",2014,"Fighting","Namco Bandai Games",0.0,0.04,0.06,0.02,0.12
"Summon Night 3","PSP",2012,"Role-Playing","Namco Bandai Games",0.0,0.0,0.12,0.0,0.12
"Fuse (Insomniac)","PS3",2013,"Shooter","Electronic Arts",0.06,0.04,0.0,0.02,0.12
"MotoGP 14","PS3",2014,"Racing","Milestone S.r.l.",0.04,0.06,0.0,0.02,0.12
"Cars 2","PSP",2011,"Racing","Disney Interactive Studios",0.1,0.01,0.0,0.01,0.12
"The Lord of the Rings: Aragorn's Quest","DS",2010,"Action","Warner Bros. Interactive Entertainment",0.1,0.02,0.0,0.01,0.12
"WRC 5: FIA World Rally Championship","PS3",2015,"Sports","Bigben Interactive",0.02,0.09,0.0,0.02,0.12
"Bodycount","PS3",2011,"Shooter","Codemasters",0.05,0.06,0.0,0.02,0.12
"Gundam Memories: Tatakai no Kioku","PSP",2011,"Action","Namco Bandai Games",0.0,0.0,0.12,0.0,0.12
"Megamind: Ultimate Showdown","X360",2010,"Action","THQ",0.07,0.04,0.0,0.01,0.12
"Mobile Suit Gundam Side Story: Missing Link","PS3",2014,"Action","Namco Bandai Games",0.0,0.0,0.12,0.0,0.12
"Crush3D","3DS",2012,"Platform","Sega",0.07,0.04,0.0,0.01,0.12
"Medarot DS: Kabuto / Kuwagata Ver.","DS",2010,"Role-Playing","Rocket Company",0.0,0.0,0.12,0.0,0.12
"Lost Planet 3","X360",2013,"Shooter","Capcom",0.07,0.04,0.01,0.01,0.12
"Making History: The Great War","PSP",2010,"Strategy","Namco Bandai Games",0.0,0.0,0.12,0.0,0.12
"Shin Megami Tensei: Devil Survivor 2","3DS",2015,"Role-Playing","Atlus",0.0,0.03,0.09,0.0,0.12
"The God of War Trilogy","PS3",2010,"Action","Sony Computer Entertainment",0.0,0.07,0.03,0.02,0.12
"Dance Paradise","X360",2010,"Misc","Mindscape",0.1,0.01,0.0,0.01,0.12
"Blazblue: Continuum Shift Extend","PSV",2011,"Fighting","PQube",0.03,0.05,0.02,0.02,0.12
"Alice: Madness Returns","PC",2011,"Adventure","Electronic Arts",0.0,0.1,0.0,0.02,0.12
"The Legend of Heroes: Trails of Cold Steel II","PS3",2014,"Role-Playing","Nippon Ichi Software",0.01,0.0,0.11,0.0,0.12
"Yard Sale Hidden Treasures: Sunnyville","DS",2010,"Puzzle","Konami Digital Entertainment",0.11,0.0,0.0,0.01,0.12
"Killer is Dead","X360",2013,"Action","Deep Silver",0.08,0.02,0.01,0.01,0.12
"Lost in Shadow","Wii",2010,"Platform","Konami Digital Entertainment",0.1,0.0,0.01,0.01,0.12
"McDROID","Wii",2011,"Strategy","Namco Bandai Games",0.0,0.0,0.12,0.0,0.12
"Macross Triangle Frontier","PSP",2011,"Action","Namco Bandai Games",0.0,0.0,0.12,0.0,0.12
"Petz Fantasy: Moonlight Magic","DS",2010,"Simulation","Ubisoft",0.11,0.0,0.0,0.01,0.12
"Gundam Breaker 3","PSV",2016,"Action","Namco Bandai Games",0.0,0.0,0.12,0.0,0.12
"Fat Princess: Fistful of Cake","PSP",2010,"Action","Sony Computer Entertainment",0.08,0.02,0.0,0.02,0.12
"Conception II: Children of the Seven Stars","3DS",2013,"Role-Playing","Screenlife",0.09,0.0,0.03,0.01,0.12
"NASCAR Unleashed","X360",2011,"Racing","Activision",0.11,0.0,0.0,0.01,0.12
"Mahou Shoujo Lyrical Nanoha A's Portable: The Gears of Destiny","PSP",2011,"Fighting","Namco Bandai Games",0.0,0.0,0.12,0.0,0.12
"Gungnir: Mayari no Gunshin to Eiyuu Sensou","PSP",2011,"Role-Playing","Atlus",0.07,0.0,0.04,0.01,0.12
"Fate/Extra CCC","PSP",2013,"Action","Marvelous Entertainment",0.0,0.0,0.12,0.0,0.12
"Super Robot Wars OG Saga: Masou Kishin - The Lord of Elemental","DS",2010,"Strategy","Namco Bandai Games",0.0,0.0,0.12,0.0,0.12
"nail'd","PS3",2010,"Racing","Deep Silver",0.08,0.02,0.0,0.02,0.12
"PixelJunk Monsters Deluxe","PSP",2010,"Strategy","Sony Computer Entertainment",0.11,0.0,0.0,0.01,0.12
"DreamWorks Super Star Kartz","3DS",2011,"Racing","Activision",0.08,0.03,0.0,0.01,0.12
"Minute to Win It","DS",2010,"Misc","Zoo Games",0.11,0.0,0.0,0.01,0.12
"Backyard Sports Football: Rookie Rush","X360",2010,"Sports","Atari",0.11,0.0,0.0,0.01,0.12
"Sacred 3","PS3",2014,"Role-Playing","Deep Silver",0.03,0.05,0.02,0.02,0.12
"Vacation Isle: Beach Party","Wii",2010,"Misc","Warner Bros. Interactive Entertainment",0.09,0.02,0.0,0.01,0.12
"Fit in Six","Wii",2011,"Sports","Ubisoft",0.11,0.0,0.0,0.01,0.12
"Mahou Shoujo Lyrical Nanoha A's Portable: The Battle of Aces","PSP",2010,"Shooter","Namco Bandai Games",0.0,0.0,0.12,0.0,0.12
"7 Days to Die","PS4",2016,"Action","Telltale Games",0.03,0.07,0.0,0.02,0.12
"Monster Jam: Path of Destruction","X360",2010,"Racing","Activision",0.11,0.0,0.0,0.01,0.12
