URL,SPECIAL CHAR IN URL,CHARSET,SERVER,CONTENT_LENGTH,ACCEPT_EN,WHOIS_COUNTRY,WHOIS_STATEPRO,WHOIS_REGDATE,WHOIS_UPDATED_DATE,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,REMOTE_APP_BYTES,APP_PACKETS,DNS_QUERY_TIMES,Type
B0_1108,9:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1161,8:39,iso-8859-1,Apache,404,1,US,WV,21/10/2006 0:00,22/10/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1174,9:39,UTF-8,nginx,,1,US,Arizona,30/8/2000 0:00,18/4/2015 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1176,8:39,utf-8,nginx/1.11.2,,1,US,FL,14/9/1995 0:00,12/5/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1178,8:39,iso-8859-1,HTTPDaemon,,1,US,WA,5/1/1996 0:00,5/5/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1198,7:39,UTF-8,GSE,7472,1,US,CA,31/7/2000 0:00,29/6/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1210,8:39,UTF-8,Apache/2.4.18 (Ubuntu),3063,2,TR,None,14/9/2000 8:47,15/9/2016 21:37,0,0,0,0,0,0,0,0,0,0,0
B0_1234,8:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_125,6:39,utf-8,None,,1,US,CA,22/2/1996 0:00,16/1/2015 0:00,30,26,1,3521,36,37,33021,3947,36,6,0
B0_1252,8:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1279,7:39,utf-8,Apache,12985,1,US,CO,17/2/2006 0:00,19/8/2015 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1285,8:39,utf-8,nginx,,1,US,Oregon,30/8/2000 0:00,16/8/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1300,8:39,UTF-8,GSE,9352,1,US,CA,31/7/2000 0:00,29/6/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1338,8:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1344,7:39,UTF-8,Apache,,1,US,NY,10/7/2002 0:00,18/10/2013 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_138,8:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,61,52,4,7271,71,68,60586,8017,71,10,0
B0_1380,8:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1384,10:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_155,8:39,UTF-8,nginx,,1,FR,None,4/9/1996 4:00,26/4/2016 9:14,8,0,2,1059,12,11,1506,1361,12,4,0
B0_19,8:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,16,7,3,2241,22,20,6701,2683,22,6,0
B0_195,8:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,64,48,8,6413,72,68,58285,7005,72,8,0
B0_2004,8:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,2,2,1,276,2,4,244,276,2,0,0
B0_2052,8:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,16,6,4,1224,16,4,244,1224,16,0,0
B0_2079,8:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,34,24,7,5528,34,22,7472,5528,34,0,0
B0_2103,8:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,6,2,3,492,6,3,184,492,6,0,0
B0_2121,8:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,5,3,2,498,5,7,438,498,5,0,0
B0_2136,8:39,UTF-8,Apache,9050,1,None,None,,,22,9,9,1560,22,18,1334,1560,22,0,0
B0_2160,8:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,22,9,10,1524,22,11,702,1524,22,0,0
B0_2179,8:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,2,2,1,276,2,4,246,276,2,0,0
B0_2193,9:39,utf-8,ATS,620,1,US,CA,18/1/1995 0:00,26/8/2015 0:00,3,3,1,366,3,5,306,366,3,0,0
B0_2202,8:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,18,7,11,1308,18,16,1030,1308,18,0,0
B0_2241,9:39,ISO-8859-1,AmazonS3,889,1,None,None,15/5/2005 0:00,15/4/2017 0:00,10,4,5,816,10,7,436,816,10,0,0
B0_2244,9:39,ISO-8859-1,nginx,1502,1,US,Ohio,8/1/2004 0:00,3/1/2017 0:00,8,4,6,684,8,12,762,684,8,0,0
B0_2269,9:39,UTF-8,Apache,,1,None,None,,,4,3,2,420,4,5,310,420,4,0,0
B0_2284,10:39,UTF-8,cloudflare-nginx,,1,None,None,,,3,3,1,366,3,4,244,366,3,0,0
B0_2285,10:39,utf-8,cloudflare-nginx,,1,US,Arizona,10/11/2009 0:00,21/4/2015 0:00,12,5,5,912,12,4,244,912,12,0,0
B0_2291,7:39,iso-8859-1,Apache,340,1,CA,ON,26/11/1996 0:00,2/11/2016 0:00,11,5,5,894,11,10,634,894,11,0,0
B0_2297,9:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,9,8,6,714,9,11,788,714,9,0,0
B0_233,9:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,25,11,4,3771,33,32,11756,4385,33,8,0
B0_253,8:39,ISO-8859-1,Apache,1002,1,AT,Austria,1/6/2004 0:00,2/6/2016 0:00,10,2,7,927,14,20,2926,1241,14,4,0
B0_273,8:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,23,6,10,2679,29,26,7080,3121,29,6,0
B0_345,7:39,ISO-8859-1,cloudflare-nginx,,1,None,None,2/8/2010 0:00,4/5/2016 0:00,28,6,13,2721,30,29,15626,2879,30,2,0
B0_356,9:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,63,54,5,6884,73,70,57005,7630,73,10,0
B0_389,7:39,utf-8,Apache/2.2.15 (CentOS),431,1,KY,GRAND CAYMAN,24/8/2003 0:00,27/2/2017 0:00,9,0,1,865,11,12,19264,1045,11,2,0
B0_392,9:39,ISO-8859-1,nginx,1500,1,US,Ohio,8/1/2004 0:00,3/1/2017 0:00,40,11,12,6028,46,46,20061,6502,46,6,0
B0_393,8:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,44,36,6,5129,52,68,59068,5721,52,8,0
B0_471,9:39,ISO-8859-1,None,1819,1,US,CA,2/11/2002 0:00,2/2/2017 0:00,38,33,1,6419,48,47,29141,7171,48,10,0
B0_480,6:39,ISO-8859-1,nginx/1.10.0 (Ubuntu),,1,LV,RIX,19/7/2010 0:00,20/7/2016 0:00,71,67,7,7582,79,73,82537,8282,79,8,0
B0_50,8:39,us-ascii,Microsoft-HTTPAPI/2.0,324,1,TR,TR,28/10/2008 0:00,3/4/2016 0:00,12,6,9,1063,14,16,1287,1213,14,2,0
B0_523,8:39,ISO-8859-1,nginx/1.8.1,,1,US,nj,24/6/2003 0:00,22/8/2016 0:00,24,13,8,2750,30,32,9290,3190,30,6,0
B0_606,9:39,us-ascii,cloudflare-nginx,,1,US,Arizona,10/6/2005 0:00,4/6/2015 0:00,23,17,8,1970,27,26,2183,2262,27,4,0
B0_61,8:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,69,60,5,8450,81,80,68036,9350,81,12,0
B0_631,9:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,64,56,5,7076,74,71,63630,7822,74,10,0
B0_632,10:39,UTF-8,Apache/2.2.22 (Debian),8507,1,US,Arizona,28/2/2008 0:00,24/4/2017 0:00,13,3,7,1313,17,18,1612,1605,17,4,0
B0_644,9:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,62,50,5,6269,70,65,54988,6861,70,8,0
B0_666,10:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,57,49,5,5951,65,64,56509,6543,65,8,0
B0_710,9:39,ISO-8859-1,nginx/1.11.10,121211,1,US,GA,22/9/1993 0:00,15/2/2017 0:00,35,0,2,3234,38,38,129083,3384,38,2,0
B0_742,8:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,60,51,4,6503,69,66,58109,7095,69,8,0
B0_795,9:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_820,8:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_830,8:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_839,8:39,ISO-8859-1,Squeegit/1.2.5 (3_sir),,1,US,MA,29/9/1994 0:00,29/11/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_841,8:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_85,8:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,66,56,7,8252,78,77,61807,9152,78,12,0
B0_854,8:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_865,9:39,UTF-8,Apache,58,1,PA,Panama,7/11/2016 0:00,7/11/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_870,8:39,UTF-8,Apache/2,1007,1,PA,Panama,30/7/2009 4:01,19/4/2017 10:41,0,0,0,0,0,0,0,0,0,0,0
B0_876,7:39,UTF-8,Virtuoso/07.20.3217 (Linux) i686-generic-linux-glibc212-64  VDB,,1,DE,None,10/1/2007 15:27,9/1/2017 16:53,0,0,0,0,0,0,0,0,0,0,0
B0_900,8:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_902,8:39,utf-8,YouTubeFrontEnd,,1,None,None,,,0,0,0,0,0,0,0,0,0,0,0
B0_915,9:39,ISO-8859-1,nginx/1.12.0,,1,CA,SK,19/10/2005 0:00,18/10/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_948,8:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_988,8:39,utf-8,YouTubeFrontEnd,,1,US,CA,15/2/2005 0:00,14/1/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
M0_126,13:40,UTF-8,nginx,637,1,None,None,,,12,1,5,1340,16,12,964,1622,16,4,1
M0_139,13:40,UTF-8,nginx,640,1,None,None,,,12,1,4,1325,18,14,2091,1749,18,6,1
M0_143,13:40,UTF-8,nginx,643,1,None,None,,,11,1,4,1266,15,12,960,1548,15,4,1
M0_158,11:40,UTF-8,nginx,667,1,None,None,,,21,1,5,2383,29,25,3786,2983,29,8,1
M0_160,11:40,UTF-8,nginx,667,1,None,None,,,19,1,5,2243,25,22,3021,2691,25,6,1
M0_39,10:40,utf-8,Apache,3016,1,None,None,,,11,0,2,1285,17,18,2462,1741,17,6,1
M0_45,9:40,ISO-8859-1,Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch,2516,1,US,Utah,24/5/2000 0:00,25/5/2016 0:00,19,0,2,2610,25,22,7715,3074,25,6,1
B0_1011,9:40,UTF-8,Apache-Coyote/1.1,,1,US,ca,14/5/1999 0:00,28/6/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1017,9:40,UTF-8,mw2239.codfw.wmnet,,1,US,CA,13/1/2001 0:12,12/12/2015 10:16,0,0,0,0,0,0,0,0,0,0,0
B0_1033,7:40,UTF-8,GSE,7283,1,US,CA,31/7/2000 0:00,29/6/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1075,10:40,utf-8,Yippee-Ki-Yay,12513,1,US,Arizona,13/9/2001 23:03,13/2/2013 1:33,0,0,0,0,0,0,0,0,0,0,0
B0_1116,7:40,UTF-8,Apache,13183,1,US,CA,22/2/2001 0:00,7/2/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1142,7:40,UTF-8,GSE,6222,1,US,CA,31/7/2000 0:00,29/6/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_116,9:40,UTF-8,Apache,7942,1,US,CA,2/10/2005 0:00,3/10/2016 0:00,8,0,2,1016,12,14,1612,1324,12,4,0
B0_1195,7:40,utf-8,None,,1,CA,ON,27/8/2002 0:00,1/6/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1228,9:40,utf-8,cloudflare-nginx,,1,US,CO,28/9/1996 0:00,26/9/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1244,8:40,iso-8859-1,cloudflare-nginx,,1,ES,Alicante,5/6/2006 0:00,24/3/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1311,9:40,ISO-8859-1,Apache,,1,AU,Queensland,22/3/2006 0:00,22/3/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1383,12:40,UTF-8,Apache,3013,1,US,CA,20/10/1998 0:00,4/12/2013 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1415,11:40,utf-8,nginx,,1,US,NY,23/3/1995 0:00,3/3/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_2010,10:40,UTF-8,mw2165.codfw.wmnet,4692,1,US,CA,13/1/2001 0:12,12/12/2015 10:16,7,4,3,630,7,5,310,630,7,0,0
B0_2034,7:40,UTF-8,GSE,9433,1,US,CA,31/7/2000 0:00,29/6/2016 0:00,3,3,1,366,3,5,306,366,3,0,0
B0_2068,9:40,UTF-8,mw2192.codfw.wmnet,,1,US,CA,13/1/2001 0:12,12/12/2015 10:16,14,12,5,1092,14,4,244,1092,14,0,0
B0_2148,9:40,us-ascii,Microsoft-HTTPAPI/2.0,324,1,US,New Jersey,23/4/2002 18:56,20/8/2015 15:58,3,3,1,366,3,5,306,366,3,0,0
B0_222,8:40,UTF-8,Apache/2.2.23 (Amazon),11590,1,US,New York,26/9/2005 0:00,23/7/2011 0:00,156,17,12,23383,162,206,295213,23877,162,6,0
B0_2275,9:40,iso-8859-1,Apache,230,1,US,California,4/1/1995 0:00,4/1/2017 0:00,5,3,3,486,5,4,244,486,5,0,0
B0_2323,6:40,utf-8,None,,1,None,None,22/2/1996 0:00,16/1/2015 0:00,12,4,8,924,12,10,642,924,12,0,0
B0_251,7:40,ISO-8859-1,LiteSpeed,618,1,AU,Vic,30/7/2004 0:00,30/3/2014 0:00,24,6,4,1784,26,27,23886,1950,26,2,0
B0_309,8:40,ISO-8859-1,None,,1,US,ME,5/11/2008 0:00,7/10/2016 0:00,17,3,9,1394,19,20,12358,1546,19,2,0
B0_349,9:40,utf-8,nginx/1.11.3,,2,None,None,1/7/2007 5:40,8/12/2016 14:01,16,11,2,2272,20,26,16035,2576,20,4,0
B0_353,9:40,utf-8,ATS,622,1,US,CA,18/1/1995 0:00,26/8/2015 0:00,8,1,3,1088,14,13,2036,1524,14,6,0
B0_376,9:40,ISO-8859-1,Apache/2.2.32,,1,US,MO,29/12/2005 0:00,30/9/2015 0:00,21,0,2,2021,23,25,26799,2165,23,2,0
B0_391,6:40,us-ascii,Microsoft-HTTPAPI/2.0,324,2,US,PA,5/6/2003 0:00,26/11/2014 0:00,22,0,2,1724,24,26,38477,1886,24,2,0
B0_409,7:40,utf-8,None,,1,CA,ON,27/8/2002 0:00,1/6/2016 0:00,76,9,7,8268,84,88,117625,8898,84,8,0
B0_416,6:40,ISO-8859-1,nginx/1.12.0,1108,2,None,None,17/2/2009 0:00,16/2/2015 0:00,15,10,4,1166,19,19,1626,1538,19,4,0
B0_442,9:40,utf-8,nginx/1.4.6 (Ubuntu),,1,US,CA,2/12/2005 0:00,2/12/2016 0:00,26,1,3,4229,30,36,32381,4517,30,4,0
B0_520,9:40,UTF-8,Microsoft-IIS/7.5,63279,1,US,OH,8/11/1998 0:00,16/3/2015 0:00,56,4,8,4551,60,59,67881,4843,60,4,0
B0_552,8:40,ISO-8859-1,Apache,15240,1,None,None,12/2/2002 0:00,16/10/2014 0:00,8,4,1,1325,12,12,2833,1637,12,4,0
B0_562,9:40,utf-8,Apache,65993,1,US,MO,20/5/1996 0:00,24/10/2016 0:00,24,0,9,2112,28,29,16019,2404,28,4,0
B0_590,7:40,ISO-8859-1,None,1819,1,US,CA,2/11/2002 0:00,2/2/2017 0:00,48,41,9,6057,56,54,15706,6657,56,8,0
B0_685,8:40,ISO-8859-1,nginx,,1,US,WA,8/4/1996 0:00,18/11/2016 0:00,16,5,5,1615,20,23,25358,1931,20,4,0
B0_697,8:40,UTF-8,nginx,15363,1,US,NY,8/5/1996 0:00,27/1/2017 0:00,20,5,9,2948,24,27,5557,3248,24,4,0
B0_703,6:40,iso-8859-1,None,411,1,US,TX,2/3/1999 0:00,1/2/2017 0:00,14,1,3,1981,20,19,6759,2497,20,6,0
B0_765,7:40,UTF-8,GSE,38119,1,US,CA,31/7/2000 0:00,29/6/2016 0:00,38,1,3,2995,44,37,41717,3531,44,6,0
B0_803,9:40,ISO-8859-1,cloudflare-nginx,,1,US,NJ,17/12/2007 0:00,15/12/2015 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_863,9:40,utf-8,nginx + Phusion Passenger,,1,US,FL,3/6/2000 0:00,5/5/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_976,7:40,UTF-8,GSE,6498,1,US,CA,31/7/2000 0:00,29/6/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_980,9:40,utf-8,ATS,622,1,US,CA,18/1/1995 0:00,26/8/2015 0:00,0,0,0,0,0,0,0,0,0,0,0
M0_116,13:41,UTF-8,nginx,643,1,None,None,,,9,0,3,1142,13,12,1991,1430,13,4,1
M0_156,11:41,UTF-8,nginx,670,1,None,None,,,15,1,5,1653,21,19,2798,2103,21,6,1
M0_52,10:41,ISO-8859-1,Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch,2516,1,US,Utah,24/5/2000 0:00,25/5/2016 0:00,24,0,2,4034,30,26,12486,4498,30,6,1
M0_57,11:41,UTF-8,Proxy Pandeiro UOL,27103,1,BR,None,,,22,0,3,2316,26,28,31378,2640,26,4,1
M0_92,10:41,iso-8859-1,nginx/1.8.0,218,1,None,None,18/7/2005 0:00,18/6/2016 0:00,7,0,1,737,11,10,1162,1047,11,4,1
B0_107,6:41,iso-8859-1,nginx,318,1,None,None,21/11/2016 0:00,13/1/2017 0:00,8,0,2,1089,14,13,1977,1601,14,6,0
B0_1283,8:41,utf-8,nginx,,1,US,Oregon,30/8/2000 0:00,16/8/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1296,8:41,utf-8,Apache,65473,1,US,MO,20/5/1996 0:00,24/10/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1373,9:41,UTF-8,nginx/1.12.0,,1,US,Pennsylvania,8/9/2007 0:00,9/9/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1378,8:41,us-ascii,Microsoft-HTTPAPI/2.0,324,1,GB,worcs,25/10/2006 0:00,18/10/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1425,10:41,utf-8,nginx/1.8.1,,1,US,NY,18/10/1994 0:00,6/10/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_192,9:41,UTF-8,mw2231.codfw.wmnet,,1,US,CA,13/1/2001 0:12,12/12/2015 10:16,0,0,0,0,0,2,124,0,0,0,0
B0_2019,9:41,UTF-8,mw2165.codfw.wmnet,,1,US,CA,13/1/2001 0:12,12/12/2015 10:16,3,3,1,366,3,4,244,366,3,0,0
B0_2135,9:41,ISO-8859-1,Apache,,1,US,Maine,23/10/1996 0:00,28/2/2017 0:00,7,5,5,630,7,7,442,630,7,0,0
B0_2299,9:41,UTF-8,Apache,7065,1,US,Arizona,4/11/2003 0:00,4/11/2016 0:00,5,3,3,576,6,8,522,576,6,0,0
B0_238,7:41,ISO-8859-1,openresty/1.11.2.2,10588,1,US,FL,30/7/2002 0:00,26/6/2014 0:00,20,0,2,1895,22,24,13792,2055,22,2,0
B0_26,8:41,UTF-8,Apache,,1,PA,PANAMA,9/12/2008 0:00,30/11/2016 0:00,8,0,1,1078,12,12,1532,1390,12,4,0
B0_275,9:41,UTF-8,mw2109.codfw.wmnet,,1,US,CA,13/1/2001 0:12,12/12/2015 10:16,34,27,3,4891,42,37,37001,5499,42,8,0
B0_30,7:41,iso-8859-1,Apache,281,1,US,PA,9/3/2010 0:00,18/1/2013 0:00,18,0,3,1868,22,23,18348,2202,22,4,0
B0_364,8:41,us-ascii,Microsoft-IIS/7.5,324,1,US,Kansas,4/7/2001 23:21,19/4/2017 17:24,10,3,5,1202,14,16,1335,1500,14,4,0
B0_373,8:41,UTF-8,Apache,,1,JP,None,8/3/2016 0:00,27/2/2017 0:00,34,11,4,3699,40,38,27522,4153,40,6,0
B0_390,8:41,UTF-8,Apache,,1,US,VA,23/2/2010 0:00,23/1/2017 0:00,26,0,8,2657,30,35,34427,2991,30,4,0
B0_427,10:41,iso-8859-1,Apache,13,1,US,Arizona,6/7/2016 14:30,5/9/2016 3:47,8,3,8,552,8,5,420,552,8,0,0
B0_434,8:41,UTF-8,Server,,1,US,WA,5/1/1996 0:00,5/5/2016 0:00,40,12,6,3079,44,53,38924,3359,44,4,0
B0_713,8:41,ISO-8859-1,nginx/0.8.54,,1,None,None,16/1/2016 0:00,13/3/2017 0:00,1,0,1,54,1,2,124,54,1,0,0
B0_731,10:41,utf-8,nginx/1.8.1,,1,US,NY,18/10/1994 0:00,6/10/2016 0:00,10,1,4,1198,16,16,2763,1616,16,6,0
B0_758,9:41,ISO-8859-1,Apache,,1,AU,Queensland,22/3/2006 0:00,22/3/2017 0:00,101,41,5,10813,110,101,142735,11423,110,8,0
B0_829,10:41,UTF-8,Apache-Coyote/1.1,9817,1,GB,London,13/6/1997 0:00,5/11/2015 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_855,9:41,ISO-8859-1,Apache,,1,AU,Queensland,22/3/2006 0:00,22/3/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_910,9:41,ISO-8859-1,nginx,,1,FR,None,22/7/2005 18:52,21/7/2016 18:54,0,0,0,0,0,0,0,0,0,0,0
M0_128,13:42,UTF-8,nginx,646,1,None,None,,,7,1,5,466,11,10,822,760,11,4,1
M0_154,11:42,UTF-8,nginx,673,1,None,None,,,18,1,4,2185,24,21,2969,2637,24,6,1
M0_155,11:42,UTF-8,nginx,673,1,None,None,,,18,1,5,2185,24,21,2969,2637,24,6,1
M0_40,10:42,utf-8,nginx/1.10.1,,1,None,None,7/4/2002 20:00,,15,0,3,2124,17,20,12884,2270,17,2,1
M0_47,10:42,ISO-8859-1,Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch,2516,1,US,Utah,24/5/2000 0:00,25/5/2016 0:00,24,0,2,4035,30,25,12416,4499,30,6,1
M0_48,10:42,ISO-8859-1,Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch,2516,1,US,Utah,24/5/2000 0:00,25/5/2016 0:00,25,0,2,4101,31,28,12614,4565,31,6,1
M0_50,10:42,ISO-8859-1,Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch,2516,1,US,Utah,24/5/2000 0:00,25/5/2016 0:00,23,0,2,3969,29,24,12354,4433,29,6,1
M0_53,10:42,ISO-8859-1,Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch,2516,1,US,Utah,24/5/2000 0:00,25/5/2016 0:00,25,0,2,4101,31,28,12614,4565,31,6,1
M1_3,8:42,ISO-8859-1,Apache,895,1,US,Arizona,5/3/2013 20:51,5/5/2013 3:46,15,0,6,1980,19,17,5911,2334,19,4,1
B0_104,7:42,utf-8,Apache/2.4.6,,1,US,FL,24/5/2004 0:00,16/3/2017 0:00,51,11,7,4601,57,55,45279,5103,57,6,0
B0_1131,8:42,utf-8,Apache/2.4.25,,1,IN,Karnataka,30/1/2006 0:00,14/4/2014 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1139,7:42,utf-8,nginx/1.10.1,,1,CA,BC,19/12/1997 0:00,5/11/2012 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1236,10:42,UTF-8,nginx,,1,US,Arizona,30/11/2006 0:00,17/4/2015 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1257,8:42,UTF-8,Apache,7289,1,CA,ON,14/4/1999 0:00,8/8/2015 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1260,8:42,UTF-8,Apache/2.4.25,4974,1,CA,Quebec,27/5/2008 0:00,27/5/2015 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1266,10:42,utf-8,cloudflare-nginx,,1,US,Arizona,10/11/2009 0:00,21/4/2015 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1268,9:42,UTF-8,mw2225.codfw.wmnet,4691,1,US,CA,13/1/2001 0:12,12/12/2015 10:16,0,0,0,0,0,0,0,0,0,0,0
B0_1303,8:42,utf-8,nginx/1.1.19,,1,US,CA,9/12/1996 0:00,9/10/2015 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1351,11:42,UTF-8,nginx,,1,US,Arizona,8/5/2004 20:53,4/4/2014 15:11,0,0,0,0,0,0,0,0,0,0,0
B0_1375,10:42,ISO-8859-1,None,1819,1,US,CA,2/11/2002 0:00,2/2/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1422,9:42,ISO-8859-1,nginx,1505,1,US,Ohio,8/1/2004 0:00,3/1/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_146,9:42,UTF-8,Apache,7509,1,None,None,16/8/1999 0:00,17/8/2013 0:00,7,0,2,985,13,12,1496,1433,13,6,0
